No,Wilayah,Total_Total,Total_Negeri,Total_Swasta,TK_Total,TK_Negeri,TK_Swasta,KB_Total,KB_Negeri,KB_Swasta,TPA_Total,TPA_Negeri,TPA_Swasta,SPS_Total,SPS_Negeri,SPS_Swasta,PKBM_Total,PKBM_Negeri,PKBM_Swasta,SKB_Total,SKB_Negeri,SKB_Swasta,SD_Total,SD_Negeri,SD_Swasta,SMP_Total,SMP_Negeri,SMP_Swasta,SMA_Total,SMA_Negeri,SMA_Swasta,SMK_Total,SMK_Negeri,SMK_Swasta,SLB_Total,SLB_Negeri,SLB_Swasta,Tipe_Wilayah,Persentase_Negeri,Persentase_Swasta
1,Kota Surabaya,3837,3860,3451,1251,3,1248,3870,1,3860,54,1,53,8400,0,8400,42,0,42,1,1,0,6540,2830,3710,3220,630,2590,1400,23,1170,1060,11,950,40,0,40,Kota,100.59942663539223,89.94005733646078
2,Kab. Malang,3563,1186,2377,1008,4,1004,7260,0,7260,8,0,8,170,0,170,50,0,50,1,1,0,1159,1061,980,3650,970,2680,730,13,600,1430,9,1340,13,1,12,Kabupaten,33.28655627280382,66.71344372719619
3,Kab. Jember,3507,1035,2472,9620,6,9560,5070,0,5070,17,0,17,3320,0,3320,31,0,31,0,0,0,1054,9060,1480,3490,950,2540,630,18,450,1820,8,1740,10,2,8,Kabupaten,29.512403763900767,70.48759623609922
4,Kab. Lamongan,3359,6650,2694,1006,2,1004,1098,0,1098,10,0,10,2670,0,2670,26,0,26,0,0,0,6350,5930,420,1590,480,1110,700,14,560,790,7,720,9,1,8,Kabupaten,197.9755879726109,80.20244120273891
5,Kab. Bojonegoro,2831,7980,2033,6710,4,6670,5710,0,5710,12,0,12,6040,0,6040,22,0,22,0,0,0,7110,6920,190,1150,550,600,510,21,300,610,19,420,13,7,6,Kabupaten,281.87919463087246,71.81208053691275
6,Kab. Sidoarjo,2641,5340,2107,7590,2,7570,7280,0,7280,46,0,46,890,0,890,51,0,51,1,1,0,5870,4630,1240,1920,480,1440,700,13,570,870,5,820,31,2,29,Kabupaten,202.19613782658087,79.78038621734191
7,Kab. Kediri,2489,6910,1798,7650,4,7610,3600,0,3600,12,0,12,3670,0,3670,41,0,41,0,0,0,7040,6110,930,1330,540,790,280,15,130,530,6,470,26,1,25,Kabupaten,277.62153475291285,72.23784652470871
8,Kab. Banyuwangi,2382,8490,1533,8070,2,8050,2580,0,2580,5,0,5,40,0,40,82,0,82,1,1,0,8080,7430,650,2340,740,1600,510,18,330,890,9,800,43,2,41,Kabupaten,356.4231738035264,64.35768261964736
9,Kab. Pasuruan,2374,7420,1632,6930,4,6890,4940,0,4940,8,0,8,1450,0,1450,26,0,26,0,0,0,7210,6490,720,1670,630,1040,430,9,340,690,14,550,8,3,5,Kabupaten,312.5526537489469,68.74473462510531
10,Kab. Gresik,2215,4460,1769,6270,3,6240,6670,0,6670,18,0,18,1720,0,1720,13,0,13,1,1,0,4670,3890,780,1270,350,920,530,13,400,620,4,580,8,1,7,Kabupaten,201.35440180586906,79.86455981941309
