No,Wilayah,Total,TK,KB,TPA,SPS,PKBM,SKB,SD,SMP,SMA,SMK,SLB,Total_Sekolah
1,Kota Surabaya,3.837,1.251,387.0,54,840,42,1,654.0,322,140,106,40,2587.251
2,Kab. Malang,3.563,1.008,726.0,8,17,50,1,1.159,365,73,143,13,1398.167
3,Kab. Jember,3.507,962.0,507.0,17,332,31,0,1.054,349,63,182,10,2454.054
4,Kab. Lamongan,3.359,1.006,1.098,10,267,26,0,635.0,159,70,79,9,1257.104
5,Kab. Bojonegoro,2.831,671.0,571.0,12,604,22,0,711.0,115,51,61,13,2831.0
6,Kab. Sidoarjo,2.641,759.0,728.0,46,89,51,1,587.0,192,70,87,31,2641.0
7,Kab. Kediri,2.489,765.0,360.0,12,367,41,0,704.0,133,28,53,26,2489.0
8,Kab. Banyuwangi,2.382,807.0,258.0,5,4,82,1,808.0,234,51,89,43,2382.0
9,Kab. Pasuruan,2.374,693.0,494.0,8,145,26,0,721.0,167,43,69,8,2374.0
10,Kab. Gresik,2.215,627.0,667.0,18,172,13,1,467.0,127,53,62,8,2215.0
11,Kab. Sampang,2.168,360.0,484.0,2,142,36,0,633.0,338,79,92,2,2168.0
12,Kab. Probolinggo,2.096,511.0,439.0,5,150,25,1,613.0,215,76,56,5,2096.0
13,Kab. Sumenep,2.043,490.0,499.0,5,6,48,1,634.0,198,83,75,4,2043.0
14,Kab. Bangkalan,2.027,569.0,265.0,9,70,25,0,680.0,265,69,71,4,2027.0
15,Kab. Tuban,1.995,538.0,654.0,7,0,38,0,569.0,103,37,44,5,1995.0
16,Kab. Blitar,1.95,785.0,295.0,8,9,10,0,666.0,109,23,34,11,1950.0
17,Kab. Nganjuk,1.933,609.0,484.0,8,21,10,1,611.0,92,26,60,11,1933.0
18,Kab. Jombang,1.926,514.0,541.0,28,13,35,2,522.0,137,47,71,16,1926.0
19,Kab. Bondowoso,1.869,400.0,700.0,2,27,65,1,466.0,115,29,59,5,1869.0
20,Kab. Mojokerto,1.846,471.0,533.0,2,158,21,1,422.0,123,38,62,15,1846.0
21,Kab. Pamekasan,1.843,361.0,556.0,10,44,21,0,477.0,183,76,109,6,1843.0
22,Kab. Tulungagung,1.839,554.0,390.0,14,49,21,0,634.0,107,23,35,12,1839.0
23,Kab. Lumajang,1.776,457.0,498.0,3,0,28,0,558.0,153,30,41,8,1776.0
24,Kab. Ponorogo,1.507,456.0,285.0,9,8,13,1,572.0,90,26,41,6,1507.0
25,Kab. Ngawi,1.504,526.0,297.0,8,1,23,0,501.0,82,20,41,5,1504.0
26,Kab. Pacitan,1.362,313.0,396.0,9,86,19,1,419.0,72,11,31,5,1362.0
27,Kab. Situbondo,1.358,289.0,449.0,1,1,29,1,424.0,94,18,49,3,1358.0
28,Kota Malang,1.25,364.0,160.0,24,156,27,1,287.0,118,49,50,14,1250.0
29,Kab. Magetan,1.232,397.0,173.0,16,116,14,1,403.0,58,15,31,8,1232.0
30,Kab. Trenggalek,1.206,388.0,167.0,4,58,13,1,438.0,83,16,35,3,1206.0
31,Kab. Madiun,1.2,330.0,345.0,3,7,10,0,405.0,52,12,25,11,1200.0
32,Kota Kediri,482.0,121.0,105.0,8,8,12,1,142.0,36,20,24,5,482.0
33,Kota Probolinggo,373.0,109.0,91.0,13,1,6,0,86.0,30,13,20,4,373.0
34,Kota Pasuruan,344.0,103.0,58.0,8,41,6,0,69.0,31,12,13,3,344.0
35,Kota Batu,328.0,74.0,58.0,8,46,4,0,80.0,31,12,13,2,328.0
36,Kota Madiun,302.0,91.0,44.0,5,17,6,0,68.0,24,12,28,7,302.0
37,Kota Blitar,280.0,79.0,50.0,6,25,5,0,63.0,20,10,16,6,280.0
38,Kota Mojokerto,233.0,65.0,52.0,4,11,1,0,55.0,19,11,10,5,233.0
